sid_id,date,nav,is_previous_day_nav
SIF-1,2025-10-08,10.0054,
SIF-2,2025-10-08,10.0053,
SIF-3,2025-10-08,10.0046,
SIF-4,2025-10-08,10.0046,
SIF-1,2025-10-09,10.0153,
SIF-2,2025-10-09,10.0152,
SIF-3,2025-10-09,10.0141,
SIF-4,2025-10-09,10.0141,
SIF-1,2025-10-10,10.0169,
SIF-2,2025-10-10,10.0167,
SIF-3,2025-10-10,10.0152,
SIF-4,2025-10-10,10.0153,
SIF-1,2025-10-11,10.0169,Y
SIF-2,2025-10-11,10.0167,Y
SIF-3,2025-10-11,10.0152,Y
SIF-4,2025-10-11,10.0153,Y
SIF-1,2025-10-12,10.0169,Y
SIF-2,2025-10-12,10.0167,Y
SIF-3,2025-10-12,10.0152,Y
SIF-4,2025-10-12,10.0153,Y
SIF-1,2025-10-13,10.0226,
SIF-2,2025-10-13,10.0224,
SIF-3,2025-10-13,10.0197,
SIF-4,2025-10-13,10.0199,
SIF-1,2025-10-14,10.0181,
SIF-2,2025-10-14,10.0179,
SIF-3,2025-10-14,10.0149,
SIF-4,2025-10-14,10.0150,
SIF-1,2025-10-15,10.0253,
SIF-2,2025-10-15,10.0250,
SIF-3,2025-10-15,10.0216,
SIF-4,2025-10-15,10.0218,
SIF-1,2025-10-16,10.0524,
SIF-2,2025-10-16,10.0521,
SIF-3,2025-10-16,10.0483,
SIF-4,2025-10-16,10.0485,
SIF-1,2025-10-17,10.0497,
SIF-2,2025-10-17,10.0491,
SIF-3,2025-10-17,10.0451,
SIF-4,2025-10-17,10.0453,
SIF-1,2025-10-18,10.0497,Y
SIF-2,2025-10-18,10.0491,Y
SIF-3,2025-10-18,10.0451,Y
SIF-4,2025-10-18,10.0453,Y
SIF-1,2025-10-19,10.0497,Y
SIF-2,2025-10-19,10.0491,Y
SIF-3,2025-10-19,10.0451,Y
SIF-4,2025-10-19,10.0453,Y
SIF-1,2025-10-20,10.0953,
SIF-2,2025-10-20,10.0953,
SIF-3,2025-10-20,10.0893,
SIF-4,2025-10-20,10.0898,
SIF-5,2025-10-20,10.0189,
SIF-6,2025-10-20,10.0183,
SIF-7,2025-10-20,10.0163,
SIF-1,2025-10-23,10.1081,
SIF-2,2025-10-23,10.1084,
SIF-3,2025-10-23,10.1006,
SIF-4,2025-10-23,10.0995,
SIF-5,2025-10-23,10.0262,
SIF-6,2025-10-23,10.0256,
SIF-7,2025-10-23,10.0221,
SIF-1,2025-10-24,10.0843,
SIF-10,2025-10-24,10.0102,
SIF-11,2025-10-24,10.0088,
SIF-12,2025-10-24,10.0088,
SIF-2,2025-10-24,10.0846,
SIF-3,2025-10-24,10.0765,
SIF-4,2025-10-24,10.0753,
SIF-5,2025-10-24,10.0141,
SIF-6,2025-10-24,10.0135,
SIF-7,2025-10-24,10.0095,
SIF-9,2025-10-24,10.0102,
SIF-1,2025-10-25,10.0843,Y
SIF-10,2025-10-25,10.0102,Y
SIF-11,2025-10-25,10.0088,Y
SIF-12,2025-10-25,10.0088,Y
SIF-2,2025-10-25,10.0846,Y
SIF-3,2025-10-25,10.0765,Y
SIF-4,2025-10-25,10.0753,Y
SIF-5,2025-10-25,10.0141,Y
SIF-6,2025-10-25,10.0135,Y
SIF-7,2025-10-25,10.0095,Y
SIF-9,2025-10-25,10.0102,Y
SIF-1,2025-10-26,10.0843,Y
SIF-10,2025-10-26,10.0102,Y
SIF-11,2025-10-26,10.0088,Y
SIF-12,2025-10-26,10.0088,Y
SIF-2,2025-10-26,10.0846,Y
SIF-3,2025-10-26,10.0765,Y
SIF-4,2025-10-26,10.0753,Y
SIF-5,2025-10-26,10.0141,Y
SIF-6,2025-10-26,10.0135,Y
SIF-7,2025-10-26,10.0095,Y
SIF-9,2025-10-26,10.0102,Y
SIF-1,2025-10-27,10.1018,
SIF-10,2025-10-27,10.0142,
SIF-11,2025-10-27,10.0120,
SIF-12,2025-10-27,10.0120,
SIF-2,2025-10-27,10.1021,
SIF-3,2025-10-27,10.0929,
SIF-4,2025-10-27,10.0917,
SIF-5,2025-10-27,10.0246,
SIF-6,2025-10-27,10.0238,
SIF-7,2025-10-27,10.0187,
SIF-9,2025-10-27,10.0142,
SIF-1,2025-10-28,10.1038,
SIF-10,2025-10-28,10.0156,
SIF-11,2025-10-28,10.0131,
SIF-12,2025-10-28,10.0131,
SIF-2,2025-10-28,10.1040,
SIF-3,2025-10-28,10.0943,
SIF-4,2025-10-28,10.0932,
SIF-5,2025-10-28,10.0244,
SIF-6,2025-10-28,10.0236,
SIF-7,2025-10-28,10.0181,
SIF-9,2025-10-28,10.0156,
SIF-1,2025-10-29,10.1625,
SIF-10,2025-10-29,10.0233,
SIF-11,2025-10-29,10.0206,
SIF-12,2025-10-29,10.0206,
